id,Name,Kingdom,Class,Family,Taxa,Count
153,Aglaomorpha histrio,Animalia,Insecta,Erebidae,moth,745
154,Junonia iphita,Animalia,Insecta,Nymphalidae,butterfly,744
155,Papilio bianor thrasymedes,Animalia,Insecta,Papilionidae,butterfly,738
156,Genus Choreutis,Animalia,Insecta,Choreutidae,moth,734
157,Paracymoriza cataclystalis,Animalia,Insecta,Crambidae,moth,728
158,Junonia lemonias aenaria,Animalia,Insecta,Nymphalidae,butterfly,727
159,Lymantria concolor,Animalia,Insecta,Erebidae,moth,721
160,Celenna festivaria,Animalia,Insecta,Geometridae,moth,720
161,Catoria sublavaria,Animalia,Insecta,Geometridae,moth,720
162,Genus Nacoleia,Animalia,Insecta,Crambidae,moth,720
163,Orthetrum triangulare,Animalia,Insecta,Libellulidae,odonata,713
164,Pantala flavescens,Animalia,Insecta,Libellulidae,odonata,713
165,Nacaduba kurava therasia,Animalia,Insecta,Lycaenidae,butterfly,710
166,Calletaera obliquata,Animalia,Insecta,Geometridae,moth,706
167,Notocrypta curvifascia,Animalia,Insecta,Hesperiidae,butterfly,699
168,Agathia laetata,Animalia,Insecta,Geometridae,moth,692
169,Timandra convectaria,Animalia,Insecta,Geometridae,moth,690
170,Ischnura senegalensis,Animalia,Insecta,Coenagrionidae,odonata,689
171,Kunugia undans,Animalia,Insecta,Lasiocampidae,moth,683
172,Vamuna alboluteora,Animalia,Insecta,Erebidae,moth,682
173,Bertula kosemponica,Animalia,Insecta,Erebidae,moth,677
174,Telicota bambusae horisha,Animalia,Insecta,Hesperiidae,butterfly,676
175,Barsine sauteri,Animalia,Insecta,Erebidae,moth,675
176,Hypomecis cineracea,Animalia,Insecta,Geometridae,moth,671
177,Isoteinon lamprospilus formosanus,Animalia,Insecta,Hesperiidae,butterfly,668
178,Micronia aculeata,Animalia,Insecta,Uraniidae,moth,667
179,Spilarctia wilemani,Animalia,Insecta,Erebidae,moth,660
180,Orthetrum pruinosum neglectum,Animalia,Insecta,Libellulidae,odonata,659
181,Family Cerambycidae,Animalia,Insecta,Cerambycidae,coleoptera,658
182,Diplacodes trivialis,Animalia,Insecta,Libellulidae,odonata,657
183,Family Araneidae,Animalia,Arachnida,Araneidae,spider,657
184,Locastra muscosalis,Animalia,Insecta,Pyralidae,moth,655
185,Susica sinensis,Animalia,Insecta,Limacodidae,moth,655
186,Ourapteryx clara,Animalia,Insecta,Geometridae,moth,653
187,Chorodna ochreimacula,Animalia,Insecta,Geometridae,moth,652
188,Ixias pyrene insignis,Animalia,Insecta,Pieridae,butterfly,648
189,Family Carabidae,Animalia,Insecta,Carabidae,coleoptera,645
190,Genus Bertula,Animalia,Insecta,Erebidae,moth,642
191,Tirumala septentrionis,Animalia,Insecta,Nymphalidae,butterfly,636
192,Ourapteryx changi,Animalia,Insecta,Geometridae,moth,635
193,Genus Naarda,Animalia,Insecta,Erebidae,moth,633
194,Kaniska canace,Animalia,Insecta,Nymphalidae,butterfly,628
195,Tessaratoma papillosa,Animalia,Insecta,Tessaratomidae,other,623
196,Neope muirheadi nagasawae,Animalia,Insecta,Nymphalidae,butterfly,622
197,Acherontia lachesis,Animalia,Insecta,Sphingidae,moth,619
198,Cepora nadina eunama,Animalia,Insecta,Pieridae,butterfly,619
199,Antitrygodes divisaria,Animalia,Insecta,Geometridae,moth,614
200,Genus Pergesa,Animalia,Insecta,Sphingidae,moth,606
201,Corymica spatiosa,Animalia,Insecta,Geometridae,moth,606
202,Lemyra alikangensis,Animalia,Insecta,Erebidae,moth,605
203,Xanthorhoe saturata,Animalia,Insecta,Geometridae,moth,605
204,Fodina contigua,Animalia,Insecta,Erebidae,moth,605
205,Erthesina fullo,Animalia,Insecta,Pentatomidae,other,601
206,Family Gelechiidae,Animalia,Insecta,Gelechiidae,moth,600
207,Nothomiza flavicosta,Animalia,Insecta,Geometridae,moth,599
208,Genus Ectropis,Animalia,Insecta,Geometridae,moth,596
209,Genus Lemyra,Animalia,Insecta,Erebidae,moth,595
210,Danaus genutia,Animalia,Insecta,Nymphalidae,butterfly,594
211,Genus Teliphasa,Animalia,Insecta,Pyralidae,moth,594
212,Rhagastis binoculata,Animalia,Insecta,Sphingidae,moth,592
213,Telicota ohara formosana,Animalia,Insecta,Hesperiidae,butterfly,591
214,Ercheia cyllaria,Animalia,Insecta,Erebidae,moth,590
215,Macrocilix mysticata,Animalia,Insecta,Drepanidae,moth,582
216,Trithemis aurora,Animalia,Insecta,Libellulidae,odonata,581
217,Hypochrosis baenzigeri,Animalia,Insecta,Geometridae,moth,581
218,Family Lucanidae,Animalia,Insecta,Lucanidae,coleoptera,579
219,Garudinia bimaculata,Animalia,Insecta,Erebidae,moth,576
220,Genus Meligethes,Animalia,Insecta,Nitidulidae,coleoptera,575
221,Luxiaria mitorrhaphes,Animalia,Insecta,Geometridae,moth,570
222,Genus Macroglossum,Animalia,Insecta,Sphingidae,moth,570
223,Polygonia c-aureum lunulata,Animalia,Insecta,Nymphalidae,butterfly,567
224,Actias ningpoana  ningtaiwana,Animalia,Insecta,Saturniidae,moth,567
225,Maruca vitrata,Animalia,Insecta,Crambidae,moth,566
226,Artena dotata,Animalia,Insecta,Erebidae,moth,565
227,Erasmia pulchella,Animalia,Insecta,Zygaenidae,moth,563
228,Nyctemera lacticinia,Animalia,Insecta,Erebidae,moth,563
229,Nudaria ranruna,Animalia,Insecta,Erebidae,moth,560
230,Thosea sinensis,Animalia,Insecta,Limacodidae,moth,559
231,Horithyatira decorata,Animalia,Insecta,Drepanidae,moth,558
232,Menophra anaplagiata,Animalia,Insecta,Geometridae,moth,558
233,Gasterocome pannosaria orta,Animalia,Insecta,Geometridae,moth,558
234,Athyma cama zoroastes,Animalia,Insecta,Nymphalidae,butterfly,557
235,Copera marginipes,Animalia,Insecta,Platycnemididae,odonata,555
236,Euproctis kanshireia,Animalia,Insecta,Erebidae,moth,555
237,Genus Homona,Animalia,Insecta,Tortricidae,moth,555
238,Percnia suffusa,Animalia,Insecta,Geometridae,moth,553
239,Paralebeda femorata,Animalia,Insecta,Lasiocampidae,moth,552
240,Percnia longitermen,Animalia,Insecta,Geometridae,moth,551
241,Orthetrum sabina sabina,Animalia,Insecta,Libellulidae,odonata,550
242,Papilio hermosanus,Animalia,Insecta,Papilionidae,butterfly,549
243,Ilema kosemponica,Animalia,Insecta,Erebidae,moth,546
244,Diduga flavicostata,Animalia,Insecta,Erebidae,moth,546
245,Psilogramma increta,Animalia,Insecta,Sphingidae,moth,546
246,Genus Pyrinioides,Animalia,Insecta,Thyrididae,moth,545
247,Eudocima salaminia,Animalia,Insecta,Erebidae,moth,544
248,Papilio polytes polytes,Animalia,Insecta,Papilionidae,butterfly,544
249,Antheraea formosana,Animalia,Insecta,Saturniidae,moth,544
250,Dudusa nobilis,Animalia,Insecta,Notodontidae,moth,543
251,Tirumala limniace limniace,Animalia,Insecta,Nymphalidae,butterfly,541
252,Zusidava serratilinea,Animalia,Insecta,Drepanidae,moth,540
253,Palirisa cervina,Animalia,Insecta,Eupterotidae,moth,540
254,Papilio nephelus chaonulus,Animalia,Insecta,Papilionidae,butterfly,539
255,Cheilomenes sexmaculata,Animalia,Insecta,Coccinellidae,coleoptera,539
256,Celastrina lavendularis himilcon,Animalia,Insecta,Lycaenidae,butterfly,538
257,Westermannia elliptica,Animalia,Insecta,Nolidae,moth,537
258,Matrona cyanoptera,Animalia,Insecta,Calopterygidae,odonata,535
259,Junonia almana,Animalia,Insecta,Nymphalidae,butterfly,533
260,Sympis rufibasis,Animalia,Insecta,Erebidae,moth,529
261,Physopelta quadriguttata,Animalia,Insecta,Largidae,other,528
262,Badamia exclamationis,Animalia,Insecta,Hesperiidae,butterfly,525
263,Chrysodeixis heberachis,Animalia,Insecta,Noctuidae,moth,524
264,Gonodontis pallida,Animalia,Insecta,Geometridae,moth,524
265,Hyposidra infixaria,Animalia,Insecta,Geometridae,moth,524
266,Xenoplia trivialis,Animalia,Insecta,Geometridae,moth,520
267,Nordstromia semililacina,Animalia,Insecta,Drepanidae,moth,520
268,Papilio castor formosanus,Animalia,Insecta,Papilionidae,butterfly,515
269,Genus Callopistria,Animalia,Insecta,Noctuidae,moth,515
270,Ceratarcha umbrosa,Animalia,Insecta,Crambidae,moth,512
271,Brachypterus yukikoae,Animalia,Insecta,Kateretidae,coleoptera,511
272,Triuncina brunnea,Animalia,Insecta,Bombycidae,moth,509
273,Graphium agamemnon,Animalia,Insecta,Papilionidae,butterfly,507
274,Danaus chrysippus,Animalia,Insecta,Nymphalidae,butterfly,507
275,Penthema formosanum,Animalia,Insecta,Nymphalidae,butterfly,502
276,Genus Dindica,Animalia,Insecta,Geometridae,moth,501
277,Spilarctia subcarnea,Animalia,Insecta,Erebidae,moth,500
278,Orthetrum glaucum,Animalia,Insecta,Libellulidae,odonata,500
279,Neptis sappho formosana,Animalia,Insecta,Nymphalidae,butterfly,500
280,Parantica swinhoei,Animalia,Insecta,Nymphalidae,butterfly,500
281,Teliphasa nubilosa,Animalia,Insecta,Pyralidae,moth,493
282,Genus Menophra,Animalia,Insecta,Geometridae,moth,492
283,Lymantria iris,Animalia,Insecta,Erebidae,moth,492
284,Genus Maxates,Animalia,Insecta,Geometridae,moth,491
285,Physopelta gutta,Animalia,Insecta,Largidae,other,491
286,Katha magnata,Animalia,Insecta,Erebidae,moth,490
287,Eoophyla conjunctalis,Animalia,Insecta,Crambidae,moth,489
288,Odontopera albiguttulata,Animalia,Insecta,Geometridae,moth,489
289,Lophophelma taiwana,Animalia,Insecta,Geometridae,moth,487
290,Samia wangi,Animalia,Insecta,Saturniidae,moth,487
291,Genus Hydriris,Animalia,Insecta,Crambidae,moth,486
292,Actias sinensis subaurea,Animalia,Insecta,Saturniidae,moth,485
293,Ilema olivacea,Animalia,Insecta,Erebidae,moth,484
294,Syntypistis comatus,Animalia,Insecta,Notodontidae,moth,484
295,Pindara illibata,Animalia,Insecta,Erebidae,moth,484
296,Alcis admissaria,Animalia,Insecta,Geometridae,moth,482
297,Eutrogia morosa,Animalia,Insecta,Erebidae,moth,479
298,Attacus atlas,Animalia,Insecta,Saturniidae,moth,477
299,Andraca theae,Animalia,Insecta,Endromidae,moth,477
300,Meligethes sadanarii,Animalia,Insecta,Nitidulidae,coleoptera,477
301,Bombyx mandarina,Animalia,Insecta,Bombycidae,moth,476
302,Family Agelenidae,Animalia,Arachnida,Agelenidae,spider,475
303,Discophora sondaica tulliana,Animalia,Insecta,Nymphalidae,butterfly,474
304,Kallima inachus formosana,Animalia,Insecta,Nymphalidae,butterfly,474
305,Apis mellifera,Animalia,Insecta,Apidae,other,474
306,Agrioglypta itysalis,Animalia,Insecta,Crambidae,moth,472
307,Ypthima formosana,Animalia,Insecta,Nymphalidae,butterfly,471
308,Phalera flavescens flavescens,Animalia,Insecta,Notodontidae,moth,468
309,Areas galactina,Animalia,Insecta,Erebidae,moth,465
310,Mycalesis francisca formosana,Animalia,Insecta,Nymphalidae,butterfly,464
311,Genus Neoscona,Animalia,Arachnida,Araneidae,spider,463
312,Blenina quinaria,Animalia,Insecta,Nolidae,moth,458
313,Miresa fulgida,Animalia,Insecta,Limacodidae,moth,457
314,Choreutis amethystodes,Animalia,Insecta,Choreutidae,moth,456
315,Mocis frugalis,Animalia,Insecta,Erebidae,moth,456
316,Eudocima homaena,Animalia,Insecta,Erebidae,moth,455
317,Euploea sylvester swinhoei,Animalia,Insecta,Nymphalidae,butterfly,455
318,Genus Ceratina,Animalia,Insecta,Apidae,other,455
319,Tyana falcata,Animalia,Insecta,Nolidae,moth,454
