id,Name,Date,Long,Lat
102,other,2003-7-1,121.104408,23.81578175
103,other,2003-10-1,121.0556445,23.416089000000003
104,other,2004-1-1,120.94007378787879,23.751359166666667
105,other,2004-4-1,120.94007378787879,23.751359166666667
106,other,2004-7-1,120.9984305,24.248759
107,other,2004-10-1,120.61166933333334,23.712135333333332
108,other,2005-1-1,120.724703,23.586309
109,other,2005-4-1,120.489326,23.494159999999997
110,other,2005-7-1,121.1596175,24.6763355
111,other,2005-10-1,121.1596175,24.6763355
112,other,2006-1-1,121.1596175,24.6763355
113,other,2006-4-1,120.623102,23.542871499999997
114,other,2006-7-1,120.88714733333332,24.027268000000003
115,other,2006-10-1,120.79015460000001,23.7146282
116,other,2007-1-1,120.79015460000001,23.7146282
117,other,2007-4-1,120.79015460000001,23.7146282
